OBJECTID,X,Y,NEAR_FID,NEAR_DIST,DEER_FID,DEER_DIST
1,626953.6824,3633441.366,3,179.4369174,2,7.220674678
2,626960.6509,3633443.257,3,186.0245918,1,7.220674678
3,626999.6748,3633680.885,3,306.3456642,4,38.84627458
4,626976.0813,3633711.745,3,312.7283101,5,3.719515188
5,626975.0858,3633715.329,3,314.8691731,4,3.719515188
6,626508.4924,3633818.862,3,439.3738693,7,15.13765944
7,626497.7131,3633829.49,3,454.3765564,6,15.13765944
8,626513.7686,3633845.099,3,457.3821704,7,22.39278264
9,626791.9953,3633472.114,3,15.36725959,10,1.7514662
10,626793.5855,3633471.38,3,16.91286297,9,1.7514662
11,626795.2166,3633468.852,3,18.64056295,10,3.008587412
12,626791.0982,3633463.307,3,16.26295725,11,6.907514804
13,626782.6168,3633463.918,3,9.112544702,27,7.561974761
14,626893.8127,3633701.237,3,258.467795,15,14.58720579
15,626879.6686,3633697.669,3,249.1201256,16,7.132368852
16,626877.3749,3633690.915,3,242.0235534,17,2.91131266
17,626874.699,3633689.768,3,239.8753654,18,1.197046317
18,626873.6159,3633690.278,3,239.9009771,17,1.197046317
19,626871.3223,3633691.807,3,240.3882644,18,2.756617596
20,626867.2447,3633691.425,3,238.4586609,19,4.095470087
21,626868.8375,3633695.821,3,243.130434,20,4.675809149
22,626861.2557,3633682.824,3,228.2387449,23,6.195841456
23,626864.3776,3633677.472,3,224.4778312,22,6.195841456
24,626850.8069,3633694.101,3,235.2512546,22,15.37369817
25,626807.0416,3633632.201,3,164.1987716,23,73.05424259
26,626724.9153,3633486.861,3,54.19071023,27,58.78388838
27,626781.634,3633471.416,3,4.986710655,13,7.561974761
29,626721.7296,3633131.863,1,335.7062096,30,4.729436595
30,626724.8157,3633135.447,3,339.3724837,31,2.185582206
31,626726.7072,3633136.542,3,338.005507,30,2.185582206
32,626726.8067,3633132.66,1,340.6773416,30,3.425464564
34,626131.2396,3632536.575,2,422.3527553,35,1.350040423
35,626132.5139,3632536.129,2,421.4250609,34,1.350040423
36,626157.0737,3632547.684,2,394.3037294,37,2.473924748
37,626156.7067,3632545.237,2,395.7647107,36,2.473924748
38,626161.3144,3632557.674,2,385.988486,36,10.85290289
39,626157.4772,3632625.251,2,364.6170241,85,43.16259331
40,627042.3819,3632383.94,4,309.3816632,41,12.41032366
41,627045.3685,3632371.894,4,315.9667012,42,7.607641716
42,627050.5451,3632366.32,4,322.701148,43,3.784230234
43,627053.9298,3632364.627,4,326.4586826,42,3.784230234
44,627083.4844,3632342.826,4,361.8026132,45,21.22950461
45,627097.3737,3632326.77,4,380.7304414,48,15.49567955
46,627111.8007,3632315.791,9,385.7073458,48,16.05266004
47,627096.3874,3632310.409,4,386.5090291,48,0.897069843
48,627096.3874,3632311.306,4,386.1274465,47,0.897069843
49,627095.0826,3632311.387,4,384.9116529,48,1.30737487
50,627092.7583,3632309.43,4,383.6511917,49,3.038557172
51,627085.0109,3632315.751,4,373.9409332,50,9.998414113
52,627330.6803,3632230.831,9,250.7281908,53,5.369273027
53,627329.6848,3632225.555,9,255.5775771,52,5.369273027
54,627324.7073,3632228.044,9,256.5339671,53,5.565044461
61,627341.736,3632234.81,9,241.0572651,62,4.710455058
62,627337.1283,3632233.832,9,244.5125292,61,4.710455058
63,627327.7091,3632237.135,9,247.4905172,52,6.968413312
67,626919.8074,3632720.258,6,33.98417322,74,11.450991
68,627547.9494,3632194.222,9,248.1685602,70,8.36204644
69,627556.8156,3632196.244,9,248.8415114,70,4.758845202
70,627555.8823,3632191.577,9,252.9964127,69,4.758845202
71,626487.9625,3632869.147,2,140.5320729,73,11.4734261
72,626507.3904,3632864.83,2,134.9533507,73,11.26852701
73,626496.5971,3632861.592,2,132.1054042,72,11.26852701
74,626930.5939,3632724.102,6,37.28564327,67,11.450991
77,626229.8733,3632793.227,1,274.7670808,78,4.027850413
78,626233.3272,3632791.155,1,274.0119361,77,4.027850413
79,626792.4645,3632614.29,4,146.4218527,81,4.12949141
80,626797.7697,3632614.29,6,148.1340366,79,5.305118572
81,626793.5698,3632610.311,4,143.0051534,79,4.12949141
82,626227.938,3632786.892,1,280.7752094,84,4.439989494
83,626221.9963,3632784.77,1,286.3233811,84,4.239376573
84,626223.8354,3632788.59,1,282.2612368,83,4.239376573
85,626154.6963,3632668.324,2,357.4045265,39,43.16259331
86,626578.5172,3632560.308,2,184.1275959,89,4.819963217
87,626578.3362,3632567.642,2,177.3234936,88,1.448651046
88,626576.8875,3632567.642,2,176.7437207,87,1.448651046
89,626580.7808,3632564.564,2,181.1294338,87,3.93096773
90,626815.3014,3633380.037,3,98.66801841,92,0.887231403
91,626817.3737,3633377.274,3,102.0251174,92,3.154585954
92,626814.9081,3633379.242,3,99.24820425,90,0.887231403
